drug_id,smiles
D00448,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1
D00037,OC(=O)CC(O)(CC(O)=O)C(O)=O
D00155,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O
D00021,N[C@@H](CC1=CC=CC=C1)C(O)=O
D01441,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
D00279,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
D00043,CC(C)OP(F)(=O)OC(C)C
D00160,NCCCCCC(O)=O
D00039,CC(C)[C@H](N)C(O)=O
D00065,CC[C@H](C)[C@H](N)C(O)=O
D00136,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
D02323,COC1=C(C2=CC=CC(C(=S)N(C)CC(O)=O)=C2C=C1)C(F)(F)F
D00107,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
D00184,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
D01977,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
D03218,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1
D03252,COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
D04024,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1
D00217,CC(=O)NC1=CC=C(O)C=C1
D00577,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
D03670,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
D01223,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
D00045,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
D02769,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
D00900,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
D00902,[H][C@]1(OC(=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
D00227,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
D00231,NC1=CC(=CNC1=O)C1=CC=NC=C1
D00371,CN1C2=C(NC=N2)C(=O)N(C)C1=O
D00417,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
D00501,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C
D00528,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
D00691,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O
D01133,COC1=CC=C(C=C1)C1=NC2=CC(=CC=C2N1)C1=NNC(=O)CC1C
D01704,[H][C@@]1(CC[C@](CC1)(C#N)C1=CC(OC2CCCC2)=C(OC)C=C1)C(O)=O
D02008,[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1
D02017,C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O
D03217,COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N2CCC[C@H]2CO)C(=O)NCC2=NC=CC=N2)C=C1
D00139,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
D00225,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
D00380,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
D00394,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
D00410,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1
D00437,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
D00542,[H]C(Cl)(Br)C(F)(F)F
D00574,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
D01071,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1
D02335,CC1=CC(=O)C2=CC=CC=C2C1=O
D00218,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
D00340,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
D00518,NS(=O)(=O)C1=CC(=C(Cl)C(Cl)=C1)S(N)(=O)=O
D00519,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1
D00538,NS(=O)(=O)CC1=NOC2=CC=CC=C12
D00652,CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
D00655,CN1N=C(S\C1=N\C(C)=O)S(N)(=O)=O
D01346,OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1
D02756,CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)C2=C(O)C3=C(C=C2[C@H]1C(=O)OC)C(=O)C1=C(C(O)=CC=C1)C3=O
D04031,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC=C(C1=C3)[N+]([O-])=O)C2=O
D02356,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1
D00781,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N
D00786,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
D00423,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
D00052,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
D02176,C[N+](C)(C)C[C@H](O)CC([O-])=O
D03798,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
D03736,CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C
D00584,FC1=CNC(=O)NC1=O
D00569,CCOC1=CC=C(NC(C)=O)C=C1
D00771,ClC1=CC2=C(OC(=O)N2)C=C1
D00960,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
D00964,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N
D01425,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1
D00283,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
D00454,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2
D00563,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1
D03365,CN1CCC[C@H]1C1=CN=CC=C1
D00293,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
D00322,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
D00512,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
D00533,NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2
D00536,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
D00882,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
D05353,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
D00252,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
D00596,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1
D05341,CCCCCCCCCCCCCCCC(O)=O
D00126,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
D00567,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
D00593,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
D00234,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
D00274,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC
D00300,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
D00503,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
D00521,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
D01164,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
D02342,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
D02671,CN1CCCCC1CCN1C2=C(SC3=C1C=C(C=C3)S(C)=O)C=CC=C2
D00131,CCN(CC)C(=S)SSC(=S)N(CC)CC
D00543,FC(F)OC(F)(F)C(F)Cl
D00544,COC(F)(F)C(Cl)Cl
D00547,FCOC(C(F)(F)F)C(F)(F)F
D00364,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
D00387,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12
D00434,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC
D00550,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12
D00153,[H][C@@]12CCC3=CC(=O)C=C[C@]3(C)[C@@]1([H])CC[C@]1(C)OC(=O)CC[C@@]21[H]
D00963,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C
D00188,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
D00129,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
D00187,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
D02556,C[C@@H](C1=NC(=CS1)C1=CC=C(C=C1)C#N)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F
D00005,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
D00038,OC(=O)C1=CC=CC=C1
D02368,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
D00198,[H][C@]12C[C@@H](OC(=O)C=CC3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
D00251,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O
D00362,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O
D00383,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
D00421,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
D03077,[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(O)=O
D03752,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O
D03753,[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
D03769,[H][C@@](C)(N[C@@]([H])(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@@]1([H])C(O)=O
D03772,[H][C@]1(C[C@H](N(C1)C(=O)CP(O)(=O)CCCCC1=CC=CC=C1)C(O)=O)C1CCCCC1
D00142,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
D00145,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
D00488,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
D06238,COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC
D00055,OC(=O)C1=CC(=O)NC(=O)N1
D00749,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F
D00208,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O
D00401,CN1C=CNC1=S
D00562,CCCC1=CC(=O)NC(=S)N1
D00332,NCC1(CC(O)=O)CCCCC1
D00535,NC(CCC(O)=O)C=C
D00027,O=C1NC=CC(=O)N1
D00369,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
D00035,OC(=O)[C@@H]1CCCN1
D01828,CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1
D00270,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
D00494,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
D00560,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
D00733,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
D00094,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
D01968,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O
D00753,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC
D00451,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1
D00513,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2
D00726,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
D00120,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O
D00049,OC(=O)C1=CN=CC=C1
D00070,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
D00097,OC(=O)C1=CC=CC=C1O
D00118,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
D00132,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
D00141,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
D00510,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
D01332,CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12
D00377,NC1=CC(C(O)=O)=C(O)C=C1
D00414,CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1
D00216,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
D00625,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
D01665,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
D02315,CCCCCCCC\C=C\CCCCCCCC(O)=O
D00148,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O
D00545,FC(F)OC(Cl)C(F)(F)F
D00546,FC(F)OC(F)C(F)(F)F
D00007,N[C@@H](CCC(O)=O)C(O)=O
D00203,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
D00222,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
D00317,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O
D00884,[H][C@@]12C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(O)=O)[C@]([H])(C[C@@H](O[C@]4([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C[C@@H](C)OC(=O)\C=C\[C@@]1([H])O2)O3
D00014,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
D00333,NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1
D00342,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
D00391,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F
D00398,CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1NC(N)=NC2=O
D05407,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2
D00032,N[C@@H](CC1=CNC=N1)C(O)=O
D00029,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
D00359,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
D01862,O[C@H](C[C@H](O)\C=C\C1=C(N=C2C=CC=CC2=C1C1=CC=C(F)C=C1)C1CC1)CC(O)=O
D01027,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
D01180,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]23O[C@@H]2C(O)=C(C[C@]13C)C#N
D00752,COC1=C(C\C=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C
D04966,CN(C)C(=N)NC(N)=N
D02304,NCCCC[C@H](N)C(O)=O
D00947,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1
D02559,CC1=CC(=CC=C1)N1CC(CO)OC1=O
D02560,COC1=CC2=C(OC(=C2)C2CCNCC2)C(Br)=C1
D02561,ClC1=CC=C(C=C1)C(=O)NCCN1CCOCC1
D02579,CC(C)NNC(=O)C1=CC=NC=C1
D02580,CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1
D03731,C[C@H](CC1=CC=CC=C1)N(C)CC#C
D04092,CCC(N)CC1=CNC2=CC=CC=C12
D05458,CC(C)(N)CC1=CC=CC=C1
D04983,CSCCC(N)C(O)=O
D02308,OC(=O)\C=C\C(O)=O
D00196,[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C
D00487,CN(C)C(=O)OC1=C[N+](C)=CC=C1
D00667,CN(CCCCCCCCCCN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
D00670,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1
D00805,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
D02193,CCOP(=O)(OCC)SCC[N+](C)(C)C
D03822,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C
D04292,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3
D00298,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1
D00654,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F
D00656,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
D00658,NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C(Cl)Cl
