,pr_precision_kge_rf,pr_recall_kge_rf,pr_threshold_kge_rf
0,0.09584425308873082,1.0,0.016
1,0.09690878058031481,0.998046875,0.018
2,0.09857253086419752,0.998046875,0.02
3,0.1005311823726146,0.998046875,0.022
4,0.1030241935483871,0.998046875,0.024
5,0.10575331125827815,0.998046875,0.026
6,0.10886237750319556,0.998046875,0.028
7,0.11272887712331789,0.998046875,0.03
8,0.11693363844393592,0.998046875,0.032
9,0.12120493358633776,0.998046875,0.034
10,0.1259259259259259,0.99609375,0.036
11,0.1308027699410105,0.99609375,0.038
12,0.1356971474273527,0.994140625,0.04
13,0.14154616240266962,0.994140625,0.042
14,0.14720370906983482,0.9921875,0.044
15,0.15421979356405585,0.9921875,0.046
16,0.15939755255726387,0.9921875,0.048
17,0.16547231270358306,0.9921875,0.05
18,0.1707070707070707,0.990234375,0.052
19,0.1776685393258427,0.98828125,0.054
20,0.18333939614405237,0.984375,0.056
21,0.18983050847457628,0.984375,0.058
22,0.196024941543258,0.982421875,0.06
23,0.20356131121003643,0.982421875,0.062
24,0.20960334029227556,0.98046875,0.064
25,0.21557659208261618,0.978515625,0.066
26,0.22080211546936976,0.978515625,0.068
27,0.2259963768115942,0.974609375,0.07
28,0.23350491343004212,0.974609375,0.072
29,0.24036608863198458,0.974609375,0.074
30,0.24469659595461274,0.96875,0.076
31,0.250126582278481,0.96484375,0.078
32,0.25677083333333334,0.962890625,0.08
33,0.26394849785407726,0.9609375,0.082
34,0.2718715393133998,0.958984375,0.084
35,0.2792946530147895,0.958984375,0.086
36,0.2868035190615836,0.955078125,0.088
37,0.29256594724220625,0.953125,0.09
38,0.3,0.94921875,0.092
39,0.3063802905874921,0.947265625,0.094
40,0.3136746597537265,0.9453125,0.096
41,0.3209302325581395,0.943359375,0.098
42,0.3274215552523875,0.9375,0.1
43,0.3349616189811584,0.9375,0.102
44,0.3406827880512091,0.935546875,0.104
45,0.3465991316931983,0.935546875,0.106
46,0.3554396423248882,0.931640625,0.108
47,0.36142748671222474,0.9296875,0.11
48,0.36801242236024845,0.92578125,0.112
49,0.37689243027888447,0.923828125,0.114
50,0.3824959481361426,0.921875,0.116
51,0.3871499176276771,0.91796875,0.118
52,0.39847068819031434,0.916015625,0.12
53,0.40573414422241527,0.912109375,0.122
54,0.4143744454303461,0.912109375,0.124
55,0.4209575429087624,0.91015625,0.126
56,0.42621448212648944,0.908203125,0.128
57,0.4341736694677871,0.908203125,0.13
58,0.4437022900763359,0.908203125,0.132
59,0.45170731707317074,0.904296875,0.134
60,0.45845845845845845,0.89453125,0.136
61,0.4687179487179487,0.892578125,0.138
62,0.4739583333333333,0.888671875,0.14
63,0.4824654622741764,0.88671875,0.142
64,0.49079089924160346,0.884765625,0.144
65,0.5,0.884765625,0.146
66,0.5084364454443194,0.8828125,0.148
67,0.5196304849884527,0.87890625,0.15
68,0.5266272189349113,0.869140625,0.152
69,0.5363196125907991,0.865234375,0.154
70,0.5472636815920398,0.859375,0.156
71,0.5544303797468354,0.85546875,0.158
72,0.5598455598455598,0.849609375,0.16
73,0.5676741130091985,0.84375,0.162
74,0.5762032085561497,0.841796875,0.164
75,0.5879945429740792,0.841796875,0.166
76,0.5958041958041959,0.83203125,0.168
77,0.6031294452347084,0.828125,0.17
78,0.6130434782608696,0.826171875,0.172
79,0.6175182481751825,0.826171875,0.174
80,0.6261127596439169,0.82421875,0.176
81,0.6344410876132931,0.8203125,0.178
82,0.6431852986217458,0.8203125,0.18
83,0.6557120500782473,0.818359375,0.182
84,0.6598101265822784,0.814453125,0.184
85,0.6629213483146067,0.806640625,0.186
86,0.6672077922077922,0.802734375,0.188
87,0.6782752902155887,0.798828125,0.19
88,0.6840336134453782,0.794921875,0.192
89,0.6852791878172588,0.791015625,0.194
90,0.693631669535284,0.787109375,0.196
91,0.70298769771529,0.78125,0.198
92,0.7092198581560284,0.78125,0.2
93,0.7220216606498195,0.78125,0.202
94,0.7352941176470589,0.78125,0.204
95,0.7356746765249538,0.77734375,0.206
96,0.7365491651205937,0.775390625,0.208
97,0.7387218045112782,0.767578125,0.21
98,0.7419354838709677,0.763671875,0.212
99,0.7485604606525912,0.76171875,0.214
100,0.752895752895753,0.76171875,0.216
101,0.7642436149312377,0.759765625,0.218
102,0.7683168316831683,0.7578125,0.22
103,0.7713717693836978,0.7578125,0.222
104,0.780241935483871,0.755859375,0.224
105,0.7892561983471075,0.74609375,0.226
106,0.7916666666666666,0.7421875,0.228
107,0.8,0.7421875,0.23
108,0.8059701492537313,0.73828125,0.232
109,0.8094218415417559,0.73828125,0.234
110,0.816017316017316,0.736328125,0.236
111,0.8263736263736263,0.734375,0.238
112,0.8288888888888889,0.728515625,0.24
113,0.8299776286353467,0.724609375,0.242
114,0.8292134831460675,0.720703125,0.244
115,0.8299319727891157,0.71484375,0.246
116,0.8306636155606407,0.708984375,0.248
117,0.8325688073394495,0.708984375,0.25
118,0.8337182448036952,0.705078125,0.252
119,0.8372093023255814,0.703125,0.254
120,0.8407494145199064,0.701171875,0.256
121,0.8436018957345972,0.6953125,0.258
122,0.8444976076555024,0.689453125,0.26
123,0.8465227817745803,0.689453125,0.262
124,0.8564476885644768,0.6875,0.264
125,0.8581907090464548,0.685546875,0.266
126,0.8660049627791563,0.681640625,0.268
127,0.8671679197994987,0.67578125,0.27
128,0.8686868686868687,0.671875,0.272
129,0.8782383419689119,0.662109375,0.274
130,0.8828125,0.662109375,0.276
131,0.8915343915343915,0.658203125,0.278
132,0.896,0.65625,0.28
133,0.8981233243967829,0.654296875,0.282
134,0.9005376344086021,0.654296875,0.284
135,0.9029649595687331,0.654296875,0.286
136,0.9019073569482289,0.646484375,0.288
137,0.9010989010989011,0.640625,0.29
138,0.9030470914127424,0.63671875,0.294
139,0.9022346368715084,0.630859375,0.296
140,0.9044943820224719,0.62890625,0.298
141,0.9042253521126761,0.626953125,0.3
142,0.9111747851002865,0.62109375,0.306
143,0.9135446685878963,0.619140625,0.308
144,0.9186046511627907,0.6171875,0.31
145,0.9235294117647059,0.61328125,0.312
146,0.9226190476190477,0.60546875,0.316
147,0.9223880597014925,0.603515625,0.318
148,0.927710843373494,0.6015625,0.322
149,0.9274924471299094,0.599609375,0.324
150,0.9386503067484663,0.59765625,0.326
151,0.9384615384615385,0.595703125,0.328
152,0.937888198757764,0.58984375,0.33
153,0.9404388714733543,0.5859375,0.332
154,0.9400630914826499,0.58203125,0.334
155,0.9426751592356688,0.578125,0.336
156,0.9451612903225807,0.572265625,0.338
157,0.948220064724919,0.572265625,0.34
158,0.948051948051948,0.5703125,0.342
159,0.9506578947368421,0.564453125,0.344
160,0.9536423841059603,0.5625,0.346
161,0.9534883720930233,0.560546875,0.348
162,0.9530201342281879,0.5546875,0.35
163,0.9594594594594594,0.5546875,0.352
164,0.962457337883959,0.55078125,0.356
165,0.9688581314878892,0.546875,0.36
166,0.9754385964912281,0.54296875,0.362
167,0.9752650176678446,0.5390625,0.364
168,0.9750889679715302,0.53515625,0.366
169,0.974910394265233,0.53125,0.368
170,0.9748201438848921,0.529296875,0.37
171,0.9783393501805054,0.529296875,0.372
172,0.9782608695652174,0.52734375,0.374
173,0.9781818181818182,0.525390625,0.376
174,0.978021978021978,0.521484375,0.38
175,0.9779411764705882,0.51953125,0.382
176,0.977859778597786,0.517578125,0.386
177,0.9777777777777777,0.515625,0.388
178,0.9812734082397003,0.51171875,0.39
179,0.9811320754716981,0.5078125,0.392
180,0.9810606060606061,0.505859375,0.394
181,0.9846743295019157,0.501953125,0.396
182,0.9884169884169884,0.5,0.402
183,0.9883268482490273,0.49609375,0.404
184,0.9881889763779528,0.490234375,0.406
185,0.9881422924901185,0.48828125,0.408
186,0.9880478087649402,0.484375,0.41
187,0.988,0.482421875,0.412
188,0.9879518072289156,0.48046875,0.414
189,0.9919028340080972,0.478515625,0.418
190,0.991869918699187,0.4765625,0.42
191,0.9918032786885246,0.47265625,0.426
192,0.9917695473251029,0.470703125,0.428
193,0.9917355371900827,0.46875,0.43
194,0.991701244813278,0.466796875,0.432
195,0.9916317991631799,0.462890625,0.434
196,0.9915966386554622,0.4609375,0.438
197,0.9957446808510638,0.45703125,0.44
198,0.9957264957264957,0.455078125,0.442
199,0.9956896551724138,0.451171875,0.444
200,0.9956521739130435,0.447265625,0.446
201,0.995575221238938,0.439453125,0.448
202,0.9955156950672646,0.43359375,0.45
203,0.995475113122172,0.4296875,0.452
204,0.9954128440366973,0.423828125,0.454
205,0.9953917050691244,0.421875,0.456
206,0.9953488372093023,0.41796875,0.458
207,1.0,0.41796875,0.46
208,1.0,0.416015625,0.462
209,1.0,0.4140625,0.464
210,1.0,0.408203125,0.466
211,1.0,0.404296875,0.468
212,1.0,0.40234375,0.47
213,1.0,0.396484375,0.472
214,1.0,0.39453125,0.474
215,1.0,0.388671875,0.476
216,1.0,0.38671875,0.48
217,1.0,0.380859375,0.482
218,1.0,0.37890625,0.484
219,1.0,0.37109375,0.486
220,1.0,0.3671875,0.488
221,1.0,0.36328125,0.49
222,1.0,0.359375,0.492
223,1.0,0.353515625,0.494
224,1.0,0.3515625,0.496
225,1.0,0.349609375,0.498
226,1.0,0.345703125,0.5
227,1.0,0.34375,0.502
228,1.0,0.333984375,0.504
229,1.0,0.330078125,0.506
230,1.0,0.32421875,0.508
231,1.0,0.3203125,0.51
232,1.0,0.314453125,0.512
233,1.0,0.3125,0.516
234,1.0,0.310546875,0.518
235,1.0,0.30078125,0.52
236,1.0,0.298828125,0.522
237,1.0,0.294921875,0.524
238,1.0,0.29296875,0.526
239,1.0,0.291015625,0.528
240,1.0,0.2890625,0.53
241,1.0,0.287109375,0.532
242,1.0,0.283203125,0.534
243,1.0,0.279296875,0.536
244,1.0,0.275390625,0.538
245,1.0,0.2734375,0.54
246,1.0,0.271484375,0.542
247,1.0,0.267578125,0.55
248,1.0,0.265625,0.552
249,1.0,0.263671875,0.556
250,1.0,0.26171875,0.558
251,1.0,0.25390625,0.56
252,1.0,0.24609375,0.562
253,1.0,0.23828125,0.564
254,1.0,0.234375,0.568
255,1.0,0.23046875,0.572
256,1.0,0.224609375,0.574
257,1.0,0.22265625,0.576
258,1.0,0.216796875,0.58
259,1.0,0.21484375,0.582
260,1.0,0.20703125,0.584
261,1.0,0.203125,0.586
262,1.0,0.201171875,0.594
263,1.0,0.1953125,0.596
264,1.0,0.19140625,0.6
265,1.0,0.1875,0.602
266,1.0,0.185546875,0.604
267,1.0,0.18359375,0.606
268,1.0,0.1796875,0.608
269,1.0,0.177734375,0.61
270,1.0,0.173828125,0.616
271,1.0,0.169921875,0.618
272,1.0,0.16796875,0.622
273,1.0,0.166015625,0.626
274,1.0,0.158203125,0.63
275,1.0,0.154296875,0.632
276,1.0,0.1484375,0.634
277,1.0,0.14453125,0.64
278,1.0,0.142578125,0.642
279,1.0,0.13671875,0.648
280,1.0,0.1328125,0.65
281,1.0,0.12890625,0.652
282,1.0,0.126953125,0.654
283,1.0,0.125,0.656
284,1.0,0.123046875,0.658
285,1.0,0.119140625,0.66
286,1.0,0.11328125,0.662
287,1.0,0.109375,0.664
288,1.0,0.107421875,0.666
289,1.0,0.09765625,0.668
290,1.0,0.095703125,0.678
291,1.0,0.09375,0.68
292,1.0,0.091796875,0.682
293,1.0,0.087890625,0.684
294,1.0,0.0859375,0.686
295,1.0,0.083984375,0.688
296,1.0,0.08203125,0.69
297,1.0,0.080078125,0.696
298,1.0,0.078125,0.698
299,1.0,0.07421875,0.7
300,1.0,0.072265625,0.708
301,1.0,0.0703125,0.712
302,1.0,0.068359375,0.718
303,1.0,0.06640625,0.72
304,1.0,0.064453125,0.728
305,1.0,0.0625,0.732
306,1.0,0.05859375,0.734
307,1.0,0.0546875,0.736
308,1.0,0.052734375,0.744
309,1.0,0.05078125,0.748
310,1.0,0.048828125,0.754
311,1.0,0.044921875,0.758
312,1.0,0.04296875,0.772
313,1.0,0.041015625,0.774
314,1.0,0.03515625,0.778
315,1.0,0.033203125,0.784
316,1.0,0.03125,0.786
317,1.0,0.029296875,0.796
318,1.0,0.02734375,0.8
319,1.0,0.025390625,0.802
320,1.0,0.0234375,0.804
321,1.0,0.021484375,0.81
322,1.0,0.017578125,0.824
323,1.0,0.015625,0.828
324,1.0,0.013671875,0.834
325,1.0,0.01171875,0.844
326,1.0,0.009765625,0.858
327,1.0,0.0078125,0.86
328,1.0,0.005859375,0.862
329,1.0,0.00390625,0.866
330,1.0,0.001953125,0.892
331,1.0,0.0,
